Src IP,Timestamp,Mean_Packet_Size,Packet_Size_Variance,Mean_IAT,Port_Diversity,IP_Entropy,Label,Mean_RSSI,RSSI_Variance,JA3_Diversity
Node C,2025-11-12 05:08:23.974254,0,0,0,0,0,0,-74.7,109.09,0
Node C,2025-11-12 05:13:23.974254,0,0,0,0,0,0,-77.32,57.617599999999996,0
Node C,2025-11-12 05:18:23.974254,0,0,0,0,0,0,-81.64,55.63039999999999,0
Node C,2025-11-12 05:23:23.974254,0,0,0,0,0,0,-72.4,83.6,0
Node C,2025-11-12 05:28:23.974254,0,0,0,0,0,0,-70.92,50.113600000000005,0
Node C,2025-11-12 05:33:23.974254,0,0,0,0,0,0,-75.5,62.73,0
Node C,2025-11-12 05:38:23.974254,0,0,0,0,0,0,-77.68,46.45759999999999,0
Node C,2025-11-12 05:43:23.974254,0,0,0,0,0,0,-41.14,445.0804,0
Node C,2025-11-12 05:48:23.974254,0,0,0,0,0,0,-28.8,0.19999999999999996,0
Node C,2025-11-12 05:53:23.974254,0,0,0,0,0,0,-26.02,4.6596,0
Node C,2025-11-12 05:58:23.974254,0,0,0,0,0,0,-24.68,0.2176,0
Node C,2025-11-12 06:03:23.974254,0,0,0,0,0,0,-24.68,0.2976,0
Node C,2025-11-12 06:08:23.974254,0,0,0,0,0,0,-25.06,0.0564,0
Node C,2025-11-12 06:13:23.974254,0,0,0,0,0,0,-27.02,8.499600000000001,0
Node C,2025-11-12 06:18:23.974254,0,0,0,0,0,0,-31.06,0.09639999999999997,0
Node C,2025-11-12 06:23:23.974254,0,0,0,0,0,0,-31.0,0.28,0
Node C,2025-11-12 06:28:23.974254,0,0,0,0,0,0,-30.5,0.29,0
Node C,2025-11-12 06:33:23.974254,0,0,0,0,0,0,-31.14,1.6803999999999997,0
Node C,2025-11-12 06:38:23.974254,0,0,0,0,0,0,-34.1,0.12999999999999998,0
Node C,2025-11-12 06:43:23.974254,0,0,0,0,0,0,-34.14,0.2804,0
Node C,2025-11-12 06:48:23.974254,0,0,0,0,0,0,-32.92,0.4736,0
Node C,2025-11-12 06:53:23.974254,0,0,0,0,0,0,-33.18,0.3076,0
Node C,2025-11-12 06:58:23.974254,0,0,0,0,0,0,-31.24,1.2624000000000002,0
Node C,2025-11-12 07:03:23.974254,0,0,0,0,0,0,-31.7,0.41,0
Node C,2025-11-12 07:08:23.974254,0,0,0,0,0,0,-36.02,13.459600000000002,0
Node C,2025-11-12 07:13:23.974254,0,0,0,0,0,0,-36.98,0.49959999999999993,0
Node C,2025-11-12 07:18:23.974254,0,0,0,0,0,0,-42.22,30.771600000000003,0
Node C,2025-11-12 07:23:23.974254,0,0,0,0,0,0,-46.54,1.9684,0
Node C,2025-11-12 07:28:23.974254,0,0,0,0,0,0,-44.34,6.2244,0
Node C,2025-11-12 07:33:23.974254,0,0,0,0,0,0,-42.66,1.3844,0
Node C,2025-11-12 07:38:23.974254,0,0,0,0,0,0,-44.28,6.241600000000001,0
Node C,2025-11-12 07:43:23.974254,0,0,0,0,0,0,-47.72,1.5216,0
Node C,2025-11-12 07:48:23.974254,0,0,0,0,0,0,-48.58,9.923599999999999,0
Node C,2025-11-12 07:53:23.974254,0,0,0,0,0,0,-58.18,3.2676,0
Node C,2025-11-12 07:58:23.974254,0,0,0,0,0,0,-58.32,1.5375999999999999,0
Node C,2025-11-12 08:03:23.974254,0,0,0,0,0,0,-53.44,1.1264,0
Node C,2025-11-12 08:08:23.974254,0,0,0,0,0,0,-53.88,1.7455999999999998,0
Node C,2025-11-12 08:13:23.974254,0,0,0,0,0,0,-53.36,2.5504000000000002,0
Node C,2025-11-12 08:18:23.974254,0,0,0,0,0,0,-53.86,1.6804000000000001,0
Node C,2025-11-12 08:23:23.974254,0,0,0,0,0,0,-58.6,10.76,0
Node C,2025-11-12 08:28:23.974254,0,0,0,0,0,0,-60.02,1.2196,0
Node C,2025-11-12 08:33:23.974254,0,0,0,0,0,0,-54.92,23.8736,0
Node C,2025-11-12 08:38:23.974254,0,0,0,0,0,0,-51.48,2.5296000000000003,0
Node C,2025-11-12 08:43:23.974254,0,0,0,0,0,0,-53.1,5.73,0
Node C,2025-11-12 08:48:23.974254,0,0,0,0,0,0,-56.04,1.9583999999999997,0
Node C,2025-11-12 08:53:23.974254,0,0,0,0,0,0,-53.4,25.04,0
Node C,2025-11-12 08:58:23.974254,0,0,0,0,0,0,-46.0,0.0,0
Node C,2025-11-12 09:03:23.974254,0,0,0,0,0,0,-45.46,1.3284,0
Node C,2025-11-12 09:08:23.974254,0,0,0,0,0,0,-43.0,0.0,0
Node C,2025-11-12 09:13:23.974254,0,0,0,0,0,0,-43.0,0.0,0
Node C,2025-11-12 09:18:23.974254,0,0,0,0,0,0,-43.96,0.0384,0
Node C,2025-11-12 09:23:23.974254,0,0,0,0,0,0,-44.0,0.0,0
Node C,2025-11-12 09:28:23.974254,0,0,0,0,0,0,-58.26,22.7124,0
Node C,2025-11-12 09:33:23.974254,0,0,0,0,0,0,-59.9,0.09,0
Node C,2025-11-12 09:38:23.974254,0,0,0,0,0,0,-56.42,4.2036,0
Node C,2025-11-12 09:43:23.974254,0,0,0,0,0,0,-55.76,0.1824,0
Node C,2025-11-12 09:48:23.974254,0,0,0,0,0,0,-56.74,0.2724,0
Node C,2025-11-12 09:53:23.974254,0,0,0,0,0,0,-57.1,0.09,0
Node C,2025-11-12 09:58:23.974254,0,0,0,0,0,0,-59.26,6.672399999999999,0
Node C,2025-11-12 10:03:23.974254,0,0,0,0,0,0,-64.06,1.2564000000000002,0
